epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.8924,0.90486,1.24772,0.96877,0.23274,0.45233,0.20432,0.13245,1.20014,inf,2.22495,0.000296413,0.000296413,0.000296413
2,143.96,0.85156,0.63235,0.94156,0.11503,0.19361,0.05469,0.03004,1.21731,inf,1.36373,0.000593479,0.000593479,0.000593479
3,223.423,0.86249,0.63276,0.95069,0.4242,0.33733,0.36319,0.21347,1.3335,2.9129,1.48416,0.000884545,0.000884545,0.000884545
4,302.977,0.84624,0.58653,0.94246,0.54517,0.51627,0.52287,0.31906,1.1733,1.41534,1.27624,0.000882003,0.000882003,0.000882003
5,382.458,0.83082,0.56308,0.94153,0.69963,0.40188,0.4504,0.26683,1.31986,1.50024,1.32848,0.000873004,0.000873004,0.000873004
6,461.421,0.83,0.54008,0.9397,0.56109,0.5516,0.57629,0.34424,1.15335,1.12976,1.2251,0.000864004,0.000864004,0.000864004
7,541.032,0.80676,0.51526,0.93043,0.62074,0.52142,0.55954,0.35596,1.0863,1.22845,1.17048,0.000855005,0.000855005,0.000855005
8,620.58,0.79376,0.49692,0.92407,0.62015,0.60518,0.62365,0.38723,1.07401,1.13639,1.17848,0.000846006,0.000846006,0.000846006
9,700.231,0.78788,0.49249,0.92796,0.60564,0.64643,0.62352,0.39747,1.08616,1.0249,1.18845,0.000837007,0.000837007,0.000837007
10,779.783,0.78937,0.4957,0.92758,0.61161,0.56425,0.58737,0.3729,1.08182,1.06989,1.18223,0.000828008,0.000828008,0.000828008
11,858.824,0.76332,0.46879,0.91814,0.74278,0.6073,0.65211,0.4152,1.09494,0.97867,1.1857,0.000819009,0.000819009,0.000819009
12,938.547,0.77201,0.46993,0.91953,0.58937,0.62021,0.65505,0.41506,1.05945,1.02068,1.15968,0.00081001,0.00081001,0.00081001
13,1017.98,0.75379,0.45741,0.91065,0.68024,0.60832,0.66204,0.42612,1.01995,0.92668,1.1255,0.000801011,0.000801011,0.000801011
14,1097.47,0.72591,0.44248,0.90022,0.72296,0.62013,0.68339,0.44703,0.99664,0.96771,1.11592,0.000792012,0.000792012,0.000792012
15,1177.07,0.72988,0.44349,0.91106,0.60139,0.63699,0.66697,0.42955,1.03944,1.04332,1.14809,0.000783013,0.000783013,0.000783013
16,1255.71,0.73265,0.4478,0.90993,0.72511,0.63517,0.69301,0.45027,1.02438,0.87475,1.13067,0.000774013,0.000774013,0.000774013
17,1335.49,0.7243,0.44136,0.91214,0.72018,0.64384,0.69646,0.42839,1.05617,0.88729,1.15998,0.000765014,0.000765014,0.000765014
18,1414.34,0.72673,0.43129,0.90783,0.70666,0.61845,0.69287,0.43466,1.00351,0.92046,1.12477,0.000756015,0.000756015,0.000756015
